Sno,A,Q,S1,S2,F,P,Score
1,6.25,3.75,5.76,7.5,24.11,9,56.39
2,7,4.75,8.84,8.5,35.29,9.5,73.89
3,9.75,10,3.07,6.5,35.29,7.5,72.12
4,9.75,9.75,2.69,5.5,28.82,5.5,62.02
5,5.5,1.5,4.03,8,24.11,7.5,50.66
6,7.25,5,8.84,6.5,28.23,7.5,63.33
7,9.87,9.75,4.61,10,31.17,6.5,71.92
8,9,9.75,4.61,7.5,22.35,7.5,60.72
9,9.87,10,6.92,10,42.35,9,88.15
10,9,8.5,2.3,5,22.94,6,53.75
11,9.87,9.75,6.15,9,28.23,7,70.01
12,9.75,9.75,6.53,9,37.05,9.5,81.6
13,9.75,10,5,5,26.47,8,64.22
14,9.75,10,7.69,10,30,10,77.44
15,5,4.75,1.53,5.5,22.35,6,45.14
16,9.62,8.75,8.84,5,27.05,10,69.28
17,8.87,8.5,6.73,6,24.7,8,62.81
18,6.75,8.75,6.53,6,14.11,5,47.16
19,8.87,9.75,5,9.5,35.88,6,75.01
20,6.5,9.5,6.15,5.5,22.35,6,56.01
21,4.75,4.25,1.73,7,31.17,7.5,56.41
22,6.75,4.5,5.76,0,32.94,6,55.96
23,9.25,7.25,3.46,7.5,34.11,10,71.58
24,9.62,9.75,5.76,0,27.05,6.5,58.7
25,8.87,7.5,5,0,33.52,9.5,64.4
26,7.25,7,4.23,0,28.82,8.5,55.8
27,9.75,9.75,5.38,8,35.29,8.5,76.68
28,9.87,9.75,5.38,9,38.23,9,81.24
29,9.75,10,6.53,6,31.17,8,71.46
30,9,7.5,4.61,7,21.17,5,54.29
31,9.62,9.75,7.3,6.5,25.88,7,66.07
32,9.5,9,6.15,8,30.58,5.5,68.74
33,9.37,9,2.3,6,35.88,10,72.57
34,8.87,8.25,5.76,6,34.11,6.5,69.51
35,9.37,9.25,6.53,5.5,27.05,7,64.72
36,9.25,9.12,3.07,7.5,29.41,5,63.36
37,9.37,8.12,4.23,6,25.29,6,59.02
38,9.12,5.5,8.07,6,15.29,7.5,51.5
39,7.25,7.87,5,0,27.05,6,53.18
40,8.25,3.5,3.07,8,21.76,7,51.59
